Code,Crop,Time_Point,Replicate,Water_Imbibed
S01_13,Soil,0,1,na
S02_16,Soil,0,2,na
S03_19,Soil,0,3,na
S04_22,Soil,0,4,na
S05_25,Soil,0,5,na
S06_28,Soil,0,6,na
S61_32,Soil,6,1,na
S62_35,Soil,6,2,na
S63_38,Soil,6,3,na
S64_41,Soil,6,4,na
S65_44,Soil,6,5,na
S66_47,Soil,6,6,na
S121_51,Soil,12,1,na
S122_54,Soil,12,2,na
S123_57,Soil,12,3,na
S124_60,Soil,12,4,na
S125_63,Soil,12,5,na
S126_66,Soil,12,6,na
S181_70,Soil,18,1,na
S182_74,Soil,18,2,na
S183_78,Soil,18,3,na
S184_82,Soil,18,4,na
S186_90,Soil,18,6,na
C01_11,Cotton,0,1,0.0042
C02_14,Cotton,0,2,0.0091
C03_17,Cotton,0,3,0.0013
C04_20,Cotton,0,4,0.0087
C05_23,Cotton,0,5,0.0075
C06_26,Cotton,0,6,0.0046
C61_30,Cotton,6,1,0.058
C62_33,Cotton,6,2,0.044
C63_36,Cotton,6,3,0.0569
C64_39,Cotton,6,4,0.0841
C65_42,Cotton,6,5,0.0535
C66_45,Cotton,6,6,0.0029
C121_49,Cotton,12,1,0.0651
C122_52,Cotton,12,2,0.0527
C123_55,Cotton,12,3,0.0675
C124_58,Cotton,12,4,0.0545
C125_61,Cotton,12,5,0.0623
C126_64,Cotton,12,6,0.0021
C181_68,Cotton,18,1,0.0034
C182_72,Cotton,18,2,0.0632
C183_76,Cotton,18,3,0.0514
C184_80,Cotton,18,4,0.0577
C185_84,Cotton,18,5,0.0554
SB01_12,Soybean,0,1,0.1664
SB02_15,Soybean,0,2,0.0942
SB03_18,Soybean,0,3,0.1248
SB04_21,Soybean,0,4,0.115
SB05_24,Soybean,0,5,0.0993
SB06_27,Soybean,0,6,0.1005
SB61_31,Soybean,6,1,0.2308
SB62_34,Soybean,6,2,0.2603
SB63_37,Soybean,6,3,0.2111
SB64_40,Soybean,6,4,0.2808
SB65_43,Soybean,6,5,0.2712
SB66_46,Soybean,6,6,0.2887
SB121_50,Soybean,12,1,0.2822
SB122_53,Soybean,12,2,0.2557
SB123_56,Soybean,12,3,0.2982
SB124_59,Soybean,12,4,0.2489
SB125_62,Soybean,12,5,0.2573
SB126_65,Soybean,12,6,0.2285
SB181_69,Soybean,18,1,0.2528
SB182_73,Soybean,18,2,0.2706
SB183_77,Soybean,18,3,0.3196
SB184_81,Soybean,18,4,0.2437
SB185_85,Soybean,18,5,0.2461
SB186_89,Soybean,18,6,0.301
