Code,Crop,Time_Point,Replicate,Water_Imbibed,shannon,invsimpson,simpson,richness,even
S01_13,Soil,0,1,na,6.624921234,210.7279468,0.995254545,3319,0.817143087
S02_16,Soil,0,2,na,6.612412619,206.8666389,0.995165968,3079,0.823221631
S03_19,Soil,0,3,na,6.660852532,213.0184261,0.99530557,3935,0.804677599
S04_22,Soil,0,4,na,6.660670596,204.6908037,0.995114583,3922,0.804977425
S05_25,Soil,0,5,na,6.610965159,200.2552268,0.995006373,3196,0.819237614
S06_28,Soil,0,6,na,6.650811516,199.3211037,0.99498297,3481,0.815542666
S61_32,Soil,6,1,na,6.570679095,200.2317703,0.995005788,3250,0.812558215
S62_35,Soil,6,2,na,6.492227106,171.2796532,0.994161595,3170,0.805338669
S63_38,Soil,6,3,na,6.610986321,192.0853504,0.994793981,3657,0.805785627
S64_41,Soil,6,4,na,6.472258563,163.9981432,0.99390237,3177,0.802642022
S65_44,Soil,6,5,na,6.508823655,181.6924805,0.994496195,2985,0.813465174
S66_47,Soil,6,6,na,6.482495066,176.9068449,0.994347307,2770,0.817815071
S121_51,Soil,12,1,na,6.276072687,126.5625876,0.992098771,3040,0.782590488
S122_54,Soil,12,2,na,6.461118326,152.981516,0.993463263,3192,0.800792717
S123_57,Soil,12,3,na,6.33464845,138.925561,0.992801901,2673,0.802773184
S124_60,Soil,12,4,na,6.461987711,171.1373183,0.994156739,3180,0.801274519
S125_63,Soil,12,5,na,6.501972648,172.9753186,0.994218828,3320,0.80194834
S126_66,Soil,12,6,na,6.354386724,142.6101618,0.992987877,2773,0.801543791
S181_70,Soil,18,1,na,6.299380838,142.6450567,0.992989592,2806,0.79342134
S182_74,Soil,18,2,na,6.340643799,145.486557,0.993126513,3047,0.79041545
S183_78,Soil,18,3,na,6.282806732,150.3982913,0.993350988,2190,0.81683399
S184_82,Soil,18,4,na,6.268316226,141.1413835,0.992914906,2488,0.801653444
S186_90,Soil,18,6,na,6.289000074,140.4526045,0.992880161,2684,0.796573717
C01_11,Cotton,0,1,0.0042,6.618126448,220.6621774,0.995468186,3076,0.824032987
C02_14,Cotton,0,2,0.0091,6.627205802,211.0392142,0.995261544,3180,0.821761256
C03_17,Cotton,0,3,0.0013,6.616958194,216.0663063,0.995371791,2938,0.828623274
