taxon,lfc_CropCotton ,lfc_CropSoybean,p_CropCotton ,p_CropSoybean,q_CropCotton ,q_CropSoybean,diff_CropCotton ,diff_CropSoybean,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_1387,0.016006219,-0.305005312,0.946655102,0.192827692,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,BOTU_1387_Legionella
BOTU_1197,0.101866365,0.190984227,0.572443946,0.279743828,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,BOTU_1197_Aquicella
BOTU_2475,-0.05031331,-0.021342442,0.805619135,0.915091288,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,BOTU_2475_Aquicella
BOTU_1574,0.101866365,0.259248722,0.531037695,0.103462114,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,unidentified,BOTU_1574_Diplorickettsiaceae
BOTU_3,0.079143201,0.958820671,0.845729697,0.016049136,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_3_Pseudomonas
BOTU_145,0.473487264,1.094325672,0.137947962,0.000461554,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_145_Pseudomonas
BOTU_81,0.839296191,1.836251389,0.019423124,1.75704E-07,1,0.000411323,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_81_Pseudomonas
BOTU_5064,0.090398067,0.275220978,0.813200964,0.462427065,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_5064_Pseudomonas
BOTU_196,0.84816713,1.905942752,0.008660323,1.68469E-09,1,3.95733E-06,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_196_Pseudomonas
BOTU_696,-0.198500329,-0.258419936,0.426792204,0.290630254,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,BOTU_696_Lysobacter
BOTU_1547,-0.286921464,-0.171650687,0.237707384,0.470599862,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,BOTU_1547_Lysobacter
BOTU_787,0.40620352,0.102407232,0.139404597,0.703497382,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,BOTU_787_Lysobacter
BOTU_3400,0.07127798,0.024639389,0.797915191,0.927963905,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,BOTU_3400_Lysobacter
BOTU_5331,0.061699752,-0.37153016,0.850101809,0.245067927,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unidentified,BOTU_5331_Xanthomonadaceae
BOTU_298,-0.050940512,-0.224284482,0.852407897,0.402764735,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,BOTU_298_Lysobacter
BOTU_396,0.059251824,-0.170457888,0.848702494,0.575075092,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,BOTU_396_Arenimonas
BOTU_543,0.028145437,-0.220296274,0.927434968,0.466544309,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unidentified,BOTU_543_Xanthomonadaceae
BOTU_1503,-0.207333397,-0.23066836,0.332857967,0.271149446,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,BOTU_1503_Rhodanobacter
BOTU_654,-0.061020859,-0.260423444,0.838612386,0.374623872,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,BOTU_654_Rhodanobacter
BOTU_6760,-0.277343235,-0.392300176,0.275080248,0.114818015,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,BOTU_6760_Rhodanobacter
BOTU_926,0.367933584,-0.222646248,0.182187361,0.409617016,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,BOTU_926_Ahniella
BOTU_3171,0.378641132,0.23758899,0.225115225,0.436879349,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,BOTU_3171_Stenotrophomonas
BOTU_487,0.291349317,-0.142493114,0.456476445,0.709883177,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,BOTU_487_Stenotrophomonas
BOTU_388,-0.139177257,-0.028829561,0.699439223,0.934894337,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,BOTU_388_Stenotrophomonas
BOTU_1090,0.311192283,0.350799746,0.148354208,0.096071953,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,BOTU_1090_Pseudoxanthomonas
BOTU_254,0.845163329,0.042910007,0.013171936,0.897701297,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,BOTU_254_Xanthomonas
BOTU_2308,-0.034867943,-0.013911918,0.823113593,0.927416653,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Chujaibacter,BOTU_2308_Chujaibacter
BOTU_1081,0.51680711,0.015312703,0.003237417,0.929001624,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,unidentified,BOTU_1081_Rhodanobacteraceae
BOTU_282,0.008966044,-0.105644799,0.966498025,0.613223541,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,BOTU_282_Dokdonella
BOTU_1329,-0.034867943,-0.239149981,0.899618125,0.376843636,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,BOTU_1329_Dyella
BOTU_1256,0.183122536,0.030963389,0.495704491,0.906336969,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,BOTU_1256_Dyella
BOTU_391,-0.022647478,-0.288048481,0.946125786,0.380012243,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,BOTU_391_Luteibacter
BOTU_745,-0.242357251,-0.029599451,0.410084866,0.918152213,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,unidentified,BOTU_745_Rhodanobacteraceae
BOTU_2597,-0.024160395,-0.068602477,0.847591653,0.577283586,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Tahibacter,BOTU_2597_Tahibacter
BOTU_868,0.180730053,-0.507443127,0.498149238,0.052049002,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,unidentified,BOTU_868_Rhodanobacteraceae
BOTU_3267,0.044720124,0.109864479,0.837530484,0.606874892,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_3267_Comamonadaceae
